"municode" "muniname" "sex" "age" "pop_std" "mx_std" "pop_obs" "mx_obs"
520140 "Aparecida de Goiânia" "f" 19 1629495 0.000562 4212.35146289179 0.000949588379611133
520140 "Aparecida de Goiânia" "f" 20 1691648 0.000552 4482.51981339673 0.00089235523020899
520140 "Aparecida de Goiânia" "f" 21 1708468 0.000577 4696.60161296634 0.000638759734638259
520140 "Aparecida de Goiânia" "f" 22 1750020 0.000565 4477.94220023261 0.000446633723833262
520140 "Aparecida de Goiânia" "f" 23 1710579 0.000623 4456.95601615771 0.00179494703806763
520140 "Aparecida de Goiânia" "f" 24 1754248 0.000611 4561.98035724663 0.000876812192679889
520140 "Aparecida de Goiânia" "f" 25 1729872 0.000664 4721.43751855715 0.000847199604840346
520140 "Aparecida de Goiânia" "f" 26 1667163 0.000723 4392.18562382802 0.00113838540267391
520140 "Aparecida de Goiânia" "f" 27 1756309 7e-04 4845.13142597009 0.00123835650109299
520140 "Aparecida de Goiânia" "f" 28 1777879 0.000741 4716.19935052351 0.000636105426643382
520140 "Aparecida de Goiânia" "f" 29 1712196 0.000807 4833.04608112124 0.000413817697251505
520140 "Aparecida de Goiânia" "f" 30 1785240 0.000812 4665.71150725798 0.000857318330500632
520140 "Aparecida de Goiânia" "f" 31 1604353 0.000911 4086.63364284509 0.000734100548810492
520140 "Aparecida de Goiânia" "f" 32 1616671 0.000967 4722.16026566765 0.00148237239021584
520140 "Aparecida de Goiânia" "f" 33 1523907 0.001033 4412.55791869317 0.000906503681924394
520140 "Aparecida de Goiânia" "f" 34 1496683 0.001133 4242.93666553614 0.00117842909148591
520140 "Aparecida de Goiânia" "f" 35 1522780 0.001144 4031.40834669894 0.00173636590441944
520140 "Aparecida de Goiânia" "f" 36 1419081 0.001255 3598.24859692944 0.000277912982680893
520140 "Aparecida de Goiânia" "f" 37 1413539 0.001367 3840.07546345647 0.00156246929444438
520140 "Aparecida de Goiânia" "f" 38 1386788 0.001442 4179.28358271451 0.000717826378762135
520140 "Aparecida de Goiânia" "f" 39 1379727 0.001533 3252.98401020066 0.00368892068401522
520140 "Aparecida de Goiânia" "f" 40 1458121 0.001595 3436.49485117566 0.00203695925736808
520140 "Aparecida de Goiânia" "f" 41 1316498 0.001885 3269.26184653438 0.00122351778100621
520140 "Aparecida de Goiânia" "f" 42 1342824 0.00197 3204.61591266856 0.0012481995062769
520140 "Aparecida de Goiânia" "f" 43 1273411 0.00228 3641.07666468699 0.00274644038588505
520140 "Aparecida de Goiânia" "f" 44 1297942 0.002368 2894.55072493443 0.0034547675789052
520140 "Aparecida de Goiânia" "f" 45 1326973 0.002497 3119.95815659077 0.00256413695263841
520140 "Aparecida de Goiânia" "f" 46 1277761 0.002773 2507.2406650785 0.00279191387468216
520140 "Aparecida de Goiânia" "f" 47 1231074 0.003024 2703.32564028782 0.00332923265546425
520140 "Aparecida de Goiânia" "f" 48 1164125 0.003421 3100.57930878719 0.00354772412007829
520140 "Aparecida de Goiânia" "f" 49 1141405 0.003511 2379.8962292557 0.00504223665405484
520140 "Aparecida de Goiânia" "f" 50 1185532 0.003652 2623.63347109959 0.00228690480819538
520140 "Aparecida de Goiânia" "f" 51 1043550 0.004347 1872.40922941688 0.00747699796606962
520140 "Aparecida de Goiânia" "f" 52 1072188 0.004501 2359.16280639854 0.00466267099929081
520140 "Aparecida de Goiânia" "f" 53 1003881 0.004961 2063.36587282924 0.00533109524823005
520140 "Aparecida de Goiânia" "f" 54 1000256 0.005122 2060.63036553794 0.00436759554285734
520140 "Aparecida de Goiânia" "f" 55 981986 0.005394 1874.59495425138 0.00746827999736663
520140 "Aparecida de Goiânia" "f" 56 923370 0.006031 1683.78789307535 0.0100962835461124
520140 "Aparecida de Goiânia" "f" 57 846389 0.006686 1557.04780499884 0.00899137454550436
520140 "Aparecida de Goiânia" "f" 58 831864 0.007031 1236.7605369951 0.0113198954698338
520140 "Aparecida de Goiânia" "f" 59 790268 0.007776 1391.60706539714 0.0114974983943717
520140 "Aparecida de Goiânia" "f" 60 828340 0.007642 1508.62384499702 0.014582826642279
520140 "Aparecida de Goiânia" "f" 61 685880 0.009519 772.624613622625 0.0181200543616619
520140 "Aparecida de Goiânia" "f" 62 696871 0.009637 882.001813407369 0.0181405522718694
520140 "Aparecida de Goiânia" "f" 63 647505 0.010672 1316.98381445799 0.00683379696940618
520140 "Aparecida de Goiânia" "f" 64 609489 0.011626 1115.3039426196 0.0134492486099963
520140 "Aparecida de Goiânia" "f" 65 612257 0.012121 927.927455809367 0.0215534090243675
520140 "Aparecida de Goiânia" "f" 66 554433 0.013805 743.982527677113 0.0188176462204177
520140 "Aparecida de Goiânia" "f" 67 517554 0.015224 851.60161316912 0.0176138698753511
