"p0" "mu_0" "sigma2_0" "rho_0" "mu" "sigma2" "rho" "k"
"(50, 2, 0.18)" 50 2 0.18 5.43 15.82 0.162 76
"(50, 2, 0.19)" 50 2 0.19 50 2 0.19 0
"(50, 2, 0.2)" 50 2 0.2 5.43 15.82 0.162 72
"(5, 100, 0.01)" 5 100 0.01 9.36 14.96 0.012 30
"(10, 100, 0.01)" 10 100 0.01 9.75 17.54 0.259 25
"(15, 100, 0.01)" 15 100 0.01 9.36 14.96 0.012 30
"(20, 100, 0.01)" 20 100 0.01 8.76 16.92 0.227 26
"(25, 100, 0.01)" 25 100 0.01 11.05 32.53 0.786 31
"(30, 100, 0.01)" 30 100 0.01 9.36 14.96 0.012 36
"(35, 100, 0.01)" 35 100 0.01 9.36 14.96 0.012 37
"(40, 100, 0.01)" 40 100 0.01 9.75 17.54 0.259 38
"(45, 100, 0.01)" 45 100 0.01 9.36 14.96 0.012 44
"(50, 100, 0.01)" 50 100 0.01 9.36 14.96 0.012 41
"(55, 100, 0.01)" 55 100 0.01 5.43 15.82 0.162 48
"(60, 100, 0.01)" 60 100 0.01 8.76 16.92 0.227 40
"(10, 5, 0.01)" 10 5 0.01 9.36 14.96 0.012 25
"(10, 15, 0.01)" 10 15 0.01 9.36 14.96 0.012 15
"(10, 25, 0.01)" 10 25 0.01 9.36 14.96 0.012 20
"(10, 35, 0.01)" 10 35 0.01 9.99 34.42 0.001 100
"(10, 45, 0.01)" 10 45 0.01 9.36 14.96 0.012 22
"(10, 55, 0.01)" 10 55 0.01 9.36 14.96 0.012 25
"(10, 65, 0.01)" 10 65 0.01 9.36 14.96 0.012 25
"(10, 75, 0.01)" 10 75 0.01 10.65 19.45 -0.313 29
"(10, 85, 0.01)" 10 85 0.01 10.65 19.45 -0.313 26
